Text,Emotion
That awkward moment when your DAD asks you when you're getting a boyfriend. ,sadness
" Lily broke up with me last week . In fact , she dumped me . ",sadness
The same as for SHAME and DISGUST. I was asked to resign my sorority which I did because I was ashamed.,sadness
@TheBodyShopUK just one thing brings me JOY: seeing my loved ones happy! ,joy
@ChiefNiy yes...my eyes got so watery when the mom came from talking to the doc I thought Blair just lost the baby or something ,sadness
Break! Think of the greatest success you've ever had. How did it feel? Savor that. Dive in &amp; soak it up. #LJB,joy
"During the Xmas holiday, I and my best friend at Secondary School had planned to meet at a Cultural afternoon at the Mt. Soche Hotel after missing each other for such a long time. When I asked my mother for permission, she told me not to go for no good reason. I felt very angry with her.",anger
This whole time Hershel had Sofia in the &quot;Walker Barn&quot; .... for shame.   ,sadness
I made dinner for some friends and they appreciated it very much.,joy
Falling in love.,joy
Back to work with a bang...just finished ready for a 12 hour day teaching tomorrow! :-/,joy
" Yeah . It ’ s pretty bad , that car looks like a coke can . ",sadness
He sounded quite sad about it . ,sadness
God's purpose to be glorified and our longing to be satisfied succeed together// #Purpose,joy
Me and my husband up cleaning our house and worshiping!! Getn our spirit right before church! ,joy
done w/ my Business Plan but im not already done w/ my feasibility project :(,sadness
Doctor McCann turned an exasperated face away and addressed himself to Peg . ,anger
Community all day long ☹,joy
" You ’ re questioning my ability ? I tell ya , I can make it ! I ’ ll talk to your boss . ",anger
Parents evening tonight ,joy
"i want create a new live now, if they not support me :'( !!! ",sadness
i love it when you paint your nails and none of them smudge! ,joy
"I must say I was not totally happy about her going on at Yeo Davis , with me in the government . ",joy
No 3 on 3 tourney this morning....hell I don't even think anyone signed up besides me and like 2 people...,sadness
Wish I could have seen @liltunechi live in concert for days :(,sadness
Anddd I'm home alone for thanksgiving eve ,joy
The  of life is that all of it is here to support us &amp; it was designed to be joyful.   ,joy
Am a loner on Twitter too? How sad..in real life and twitter Taylor Leigh Carroll is a loner ,sadness
Holiday shopping season is on full swing. Just got rammed by a shopping cart for the first time! ,joy
In bed with the flu doing 13 ICT Tasks to do for tommora blasting @ollyofficial Dance with me tonight. This song brings me :D,joy
I got the one person I've no idea what to buy for in form secret santa. ,joy
The greatest cause of the Prince 's despondency had been the feeling that he served no useful purpose . ,sadness
FAGGOT ====&gt; RT @_Malc: pump it up pump it up,joy
Hi I would like to introduce my friend Pat the paraplegic @dylandickdexter @TylerMurray1234  ,joy
"When I got a stereo walkman from my father when he had finacial difficulties. I thought that although he promised to give me that present, he was not obliged to do so.",joy
"Bob , I'm really upset with you . ",anger
"Agnes noted with alarm that a pink flush was suffusing Dorothy 's face , a sure sign of temper , and really , thought her loyal assistant , she had every right to be cross under the circumstances . ",anger
5 stages of  Grief: F*ck you NBC and your f*cking hiatus. You're the worst. #savecommunity,anger
"The ready availability of a screening questionnaire that mothers at risk can complete under supervision in a few minutes is potentially useful , but only if health workers and others can rise to the needs of depressed mothers . ",sadness
@Ghaliia but u dont wana touch my beautiful dog ,anger
Just been at my grandma's for 2 and a half hours:| ,joy
"After having finished my B.Sc, I was struggling hard to continue my studies and had taken the M.SC exam.  I was not sure that I would be selected in the written exam.  When I saw my name in the selected candidates list I was overjoyed.",joy
"Got 5 hours of sleep, and about to teach yoga and then go play 2 soccer games an hour away ",joy
"A male, Honduran acquaintance of mine despised my opinions.",anger
When I saw my family after a separation of one year.,joy
"Through some unexplained process , magnetic fields produced by the electric currents flowing in the cables seem to induce , say the depressives , the darkest feelings of gloom and despondency . ",sadness
"Feel weird to be back in Derby, doesn't feel like home to me anymore. ",sadness
headed to Arbutus Methodist Church to watch my girls dance &amp; hear the choir sing ,joy
 I got laid off today . ,sadness
The breakup of a relationship. After the event I was upset/sad then angry maybe 2/3 weeks later.,anger
"Had a dream that I was walking to Trader Joe's to get some chocolate, but woke up before I ate any. ",sadness
Livin in another day or a Vassar High student ,joy
@taylorpenning the midseason finale of 90210 had the most beautiful wonderful love of my life get in a motorcycle accident! ,sadness
great start to my day...its raining and I had no umbrella or hood...and I've got a test first period #sarcasm #gosh,joy
Driving to downtown buffalo for the first time ever. And i'm all by myself. ,joy
Ah fuck just found out I have work tonight. Oh yay T_T,joy
At the end of my holiday job I got less money than was due to me and nobody mentioned anything about that.,anger
 You always have a chip on your shoulder . ,anger
"@PritishNandy Kapil sibal ji, Digvijaya singh aur manish tewari bole to Sab rangila hai.Twitter,Facebook bole to character dhila hai.",anger
Ice on my car this morning officially cold enough to get a tree now!,joy
"I quarrelled with my brothers (twins) at home on saturday.  One of them studies in a private school and the other one is repeating his form five.  They do not know what they are doing.  They follow every word of their teachers, books and systems.  They always try to rationalize their bad acts by some game and they are satisfied with their awkward life.  I have tried to persuade them very often but have failed.  This time I had a fight as they have no voluntary spirit (they did not polish the floor).",anger
"Always he gets angry when she takes customers home . "" ",anger
"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me.",anger
"If he was 8 yrs old LeBron would @NBADailyDose @NepeanTX Now that Shaq is retired, no active NBA player has dunked on Antoine Carr ",sadness
" when underserved communities regain viability, via individual DREAMS, a &quot;yes can do&quot; attitude brought about by the in #Art!",joy
I don't get to sleep in at all this weekend ,joy
"@TheBodyShopUK I find in spending time with my little tabby cat. I look after, feed and provide shelter for her so I am her parent :).",joy
@ThePurplePage apparently I'm allergic to most seafood. :(,sadness
I have a terrible toothache . ,sadness
This is why I shouldn't read Youtube comments discussing gay marriage.   ,anger
the moment when you leap into bed and accidentallyy pull a muscle.  ,sadness
I had one follower. Then I lost him.  & the plus side 2 more weeks till  &lt;-,joy
Jelly belly tomorrow we'll meet again ,joy
does not simply happen to us. We have to choose joy and keep choosing it every day. — Henri Nouwen #Quotes #fact,joy
" No , not now . I have found a part-time job.So perhaps I can help my family to come over the difficulties . ",sadness
"@Glemanski unfortunately no, too long of a drive for just the day :(",sadness
This Room To Small For All That Noise ,joy
@philscutt Come back! We miss the Jungle Bookers!! Jonathan is being a delight as per usual... ,joy
" John , I am just not in the mood for this . ",sadness
I have the day off tomorrow but ill be doing homework and studying all day! #collegestudentproblems #FinalsWeek,joy
Great. My bro took a video of me feeding the horses and posted it on Facebook. Now everyone can see my hay hair and my barn sweats. ,joy
Thought I was going to see  today instead I got to see varsity boys ,joy
When present boyfriend's mother approached my parents and self - to leave her son alone - as she did not want me for a future daughter-in-law.,anger
@Rob_Moynihan Billy Crystal would be extremely proud of me today. ,joy
"During the following months the School managed to carry on , but the atmosphere must have been one of great despondency . ",sadness
" Really , Mary , you ’ re horrible . ",anger
For the first time in my life telling someone I loved them.,joy
@Hollypmn you're home SO SOON!!! I cannot even begin to explain my excitement about seeing your face again and tucking into a carvery!! ,joy
"Een batterij die bijna leeg is, drinken wat op is een bus die omrijd en mensen die niet met hun poten van de stopknop af kunnen bijven ",joy
"Well UGA, UNC, the Falcons, and some nonfootball related people I once respected all let me down this weekend. Now it's finals week. ",joy
Follow your &amp; watch our world #awaken!,joy
When I told off a computer teacher who did not want to teach me beacause of prejudice.,anger
first meet of the season tomorrow with @Buiscubes!! ,joy
"Missing my sisters bridal shower tomorrow :,(  I wish I was home ",sadness
School today. Sigh... ,sadness
"And that makes 3... #BrandonRoy_7, retired, #GregOden, Questionable for season, LaMarcus_Aldridge, Heart. #BlazersCannotgetabreak",sadness
 It's the holidays ! Everybody knows how hard it is to get tickets ! ,anger
I had a dream last night and its been the fifth time i had it and every time i have i loose sumeone close to me hope everyone ok,sadness
 Maybe . But it still gets on my nerves . ,sadness
Just read some text messages from that day! ,sadness
I forgot the mom dies in hope floats. ,sadness
"I feel that is deadly because it is parasitic, is consumes its host only because the host allows it to. It's like a voluntary cancer",anger
She was furious with me . ,anger
@etupps yeah well now my sister is watching &quot;secretly pregnant&quot; ,joy
"On holiday, seeing the lanscape in Girona.",joy
Sitting downstairs in my panties and bra cause I ain't feel like putting my pants back on. of being in to OWN HOUSE BTCS.,joy
I'm going to try sky diving this weekend . ,joy
"Breakfast consumed, dishes done, dog fed. Sitting on the floor reading with a napping pup tangled in my legs, hot cuppa tea next to me. ",joy
and #frustration will not get you anywhere. Take a breather. Quit rubbing off your #negativity on everyone.,anger
&lt;---- My awesome theme for me solo piece :) &lt;---&gt; :(,sadness
Eat chocolate! RT @PwincessDede: Same headache booming in my head. ,joy
Man this day can go FUCK its self already .. And its not even 8'o'clock .... ,joy
Despite our good performance and excellent results the management refused to meet our demands.,anger
Deeper and deeper into GOT (book). Looks like I'll be ready to watch the series next weekend. ,joy
 Why don't you just stick a gun in my ribs and take everything I have ? ,anger
"I will gladly bet ANYONE, that in the next 10 years, any pro or college teams here in Washington State will NOT bring a title home. ",sadness
"Good Morning Tweeps, only 15 more days to Christmas... Other than buying gifts what extra special traditions do you partake in?  ",joy
Pop quiz in mrs prices class @ErikLewish @Sam_Pacos @RealFausto_ ,joy
Rihanna sampling Chase &amp; Status' Saxon on her album. ,anger
Sipping a glass of red wine whilst listening to Christmas carols w/ my puppy Sophia and @stepgilles ,joy
@HoneyPolanco Lol. Don't even get me started on family. When cousin's visit from Trinidad they just take. Don't even ask. ,joy
"Last year my freshman yr. It was a day in March I did well on some tests. I seemed to finally adjust to college, it was hot and sunny. I was walking in front of a frat. when I heard Beach Boys Surfing USA. I had this overwhelming feeling that to be at CAL was good. I still have it somewhat.",joy
That feeling you get when your prayers have been answered and you hear from the one person you've been longer to hear from.  ,joy
"I work for a journal. Once the lay-out came to nothing, due to thoughtlessness of some colleagues.",anger
When people spell 'woman' as 'women' 'women' is plural dudes.,anger
Final today then straight to work ,joy
Time spent laughing is time spent with the gods - Japanese Proverb& ,joy
@FlirtatiousJuju startin yah work late young lady. Lmfao.,sadness
"@Catherinee1D @DynamiteD1VA @VasAppeninCherL (c) of McFly's old days, then i found out Tom Fletcher wrote it xD ",joy
"I will edit the Gardener. I will, I swear.    ",sadness
Men want a good woman but whats the point if your too inconsiderate n selfis to even appreciate her ,sadness
We have a new driver in our family.  My insurance rates are going to go up and I need to find a used car I don't mind him wrecking... ,joy
@GShockzz hahhaa I don't even know what I'm doing... I can't start my hw cuz I've been at emmas winter convert ,joy
Can't find an online rental for Jurassic Park anywhere and our VHS is f-ed up. Today a tradition may get ruined. ,sadness
When my mother left for Kenya.,sadness
@ITS_DABO hearing rumors you organized your own Gatorade bath against Maryland. Say it ain't so. #Gatorade #coldsweatshirt,sadness
38 Years ago today (this evening) my 1st enlistment in the Corps came to an end.  ,sadness
My girl-friend did not understand me; I was angry with myself because I had problems when we seperated - I could not resign myself to it.,anger
I've been crowned the new  for J  new   CD - Management. Those boys love their Grand Marnier,anger
When my boyfriend and I experience something nice or when we have made a nice walk together.,joy
"IE finals had up to 27 judges in one room, yet I'm judging LD... and just judged the worst round ever. Now rockhurst v Pembroke round? ",joy
"@MissKt111 noooo, think we can safely say its over and out till tomorrow ",joy
Cup Of thea alone and stay strong cuz honey isn't here,sadness
"Pray continuously, kiss slowly, laugh obnoxiously, live honestly, forgive quickly, and have love for everything.  ",joy
only class i have today is U101 and we're going to the challenge ropes course!... which if course i cant do cause of my ankle... ,joy
"This house feels so empty without my Scout. Also, missing Dad a lot today. ",sadness
@shamsmith Google. I guess her twin did the same thing. google malika haqq and Adrian Wilson.,sadness
"He had understood James 's despair at the enormity of the ruin , but not what the loss of Edward was already meaning . ",sadness
"When I worked as an \au-pair-girl\"" in London, I received a call from a good friend who told me that she was in London too and wanted to see me. I was very glad - after that call and especially when I saw her.""",joy
Happy Thanksgiving! So much to be grateful for.    #holidays #salvation,joy
"I feel like tonight is going to be an early-to-bed-night for me, which means getting made fun of my @KissMyAshhole some more. ",joy
I have become quite a deal less exciting as I have entered high school. ,joy
So many errands to do... Yearbook work night and then a buttload of shopping to do. ,joy
 I'm 5' 7&quot; that means decorating top of my Christmas tree.,joy
Enjoying a friendly talk under the heavy rain ,joy
 You are welcome . ,joy
My girlfriend let me down badly 3 times in one week. These instances summed up all the negative aspects of our relationship which at the time seemed doomed to fail.,sadness
My PS3 I recently ordered arrived today and  I'm home to play it after my 2 hour commute. The inaugural game   ,joy
"@ayaz_khan I meant that you aren't accompanied by any. But yeah, the other fact is strange too. FS isn't really that hot here. ",sadness
The worst RT @jcorsi10: oh &amp; i thought payday was today....its NEXT friday. ,joy
Almost time to go sit on my ass at practice! ,joy
 Silly me ! ,sadness
 We're happy together now . We both think that we're a well-matched couple . ,joy
Best thing about this recent wedding here has been all the Koreans I know asking me when I'm gonna marry my girlfriend.  #sarcasm,joy
@nicoleplumlee UGH I HATE NOT HAVING MY PHONE  #denial,anger
"` I was devastated , "" he says of missing the semi-final . ",sadness
Spending tomorrow in PlayGround Paradise with a bunch of little kids.. ,joy
Hectic work day and back tomorrow. #sarcasm,joy
"Under de Gaulle , therefore , the Information Minister was a Broadcasting Minister -- to whom the head of state sometimes expressed , day by day , his anger with the content of news and current affairs programmes . ",anger
I think the Conor Oberst lyric &quot;each public school is a halfway house&quot; is becoming more and more true. Vonnegut would be upset. ,sadness
 I still like the olive one best . There's a tailor here who can take up the sleeves for you . ,joy
 I've been having a hard time sleeping lately . ,sadness
"I experienced this when one of my friends reported to the Headmaster that I had gone out for beer, whilst the information was not true at all. So I had to fight the friend before the Headmaster.",anger
"Home alone, working on my research paper. ",joy
Nw: Laugh At My Pain | Kevin Heart ,joy
Time to get back to work ,joy
 THE WAR SONG by  [Disc 1],joy
" Yikes ! you are joking , right ? I can't believe it . No wonder he is so stressed and bossy lately . I thought he was just being ostentatious by giving orders to people and all the different departments . What big shoes to fill ! ",anger
Last year I passed the B.A exams in Psychology in which I stood first in my class.  Thus I got the first prize from the college.  I was most happy to tell all this to my parents and friends.,joy
Have to teach a bunch of Year 7's how to play cricket tomorrow. ,joy
@TeamSianWelby no thankfully no train journeys from hell...they're building up for my Xmas treck home ,joy
When my cousin passed away during the holidays at home.  He fell ill at night and the next day he died in the evening.,sadness
I went home and visited with my family and friends.,joy
I tried to show pleasure at their decision and at the same time annoyance that our contract simply would n't permit it . ,anger
Happy Saturday! Today's going to be a good day!! #blessed #thankful,joy
"Sweetpotato pie, scallop potato, lamb! ",joy
Happy that December is here. Time for everyone to enjoy themselves and have some fun!   ,joy
"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",anger
The death of my father.,sadness
Finally home...and now for revision for my 2 tests tomorrow ,joy
Just failed a physics test ,joy
Lovely drive home. I drove away from a bright yellow/green sky into a dark pink/blue one.  ,joy
 I ’ m sorry sir . This computer is not broken or damaged . It ’ s simply just too old ! That ’ s why your programs and applications are running slow . There really isn ’ t much I can do . ,sadness
 Actually they ’ re expecting the baby to come on my birthday . ,joy
The thought of having to read a boring book of 400 pages in English.,sadness
I lost my seeds! Now how am i suppose to plant my mctrees! D: ,sadness
@chrisjrn I can't retweet stuff in the public domain re T. at the moment. I hate people treating me as if I am clinically stupid. ,anger
OMG I feel like clawing my eyes out of my head this morning .... ,joy
"When my roommate's boyfriend assaulted me. He was threatening me, calling me names and pushing me around.",anger
 I can ’ t believe she would do that to you . It ’ s so dishonest---and rude ! ,anger
"Sunrise, sunrise looks like morning in your eyes. Beautiful morning. Happy Thursday.  #Smiles",joy
Doing well in the exam.,joy
Movies tonight wittth a bunch of people .. ;),joy
Yesterday i have the best dream! Khloe replay to and i were so happy! It was SO real! ,sadness
"When one day nobody could rouse him from his trailer , it was Lee Marvin who entered quietly and found a sombre , lonely , sad man . ",sadness
One hour of sleep all day and now leaving for a 13 hr shift ,joy
FML rewriting Maths on Monday. Not good at Maths . and ,sadness
When I was selected for the university.,joy
"` I do n't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . ",anger
@BTRTeamNY Aahhhhh  That's too bad. :(  xd wish i could meet btr. but I live in STUPID HOLLAND&gt; xd and they never come there :'( xd,sadness
Sports banquet tonight ,joy
When your boyfriend takes a whole roll of toliet paper for you&gt;&gt;&gt;&gt;&gt;&gt; :),joy
When I was not chosen to go to your English lectures. ,sadness
"Oh, fuck me sideways, this isn't a real thing!? Fuckin' @billplunkettocr plays my rage against me again! first. #management second.",anger
The loss of the woman who loved me most till today.,sadness
Can't remember my club penguin login info. ,sadness
@TheBodyShopUK for me is a nice hot bath with plenty of lovely body shop goodies to relax &amp; unwind! heaven! (plus its a quiet 10mins!),joy
Year end meeting...,joy
Oh good my friend who was coming to my Christmas party with me now can't come! ,joy
"@HGFenn85 Lookin good! I crafted the black mageweave set, so my char is somewhat half naked.  ",joy
bitch stealing the coat I wanted in topshop after seeing me wearing it. ,anger
"that cheese and onion pasty did me no favours either, i feel slightly ill. and i'm on a bus. ",joy
"I'VE LOST MY BAG OF CANDY.  I better not have trashed it. Golly, I'm starting to think I'm getting really absentminded.",sadness
@KingsQueen10 Them $4 could have went to my flat screen!! Why u had to be hungry and get sumtn to eat?! ,anger
Well now that I don't look like a nun or the girl from adams family.....guess I should do homework ,joy
@Oh_Miranda yeah i'm crazy and ugly :'( ..,sadness
To say I'm pissed off is an understatement :( where is @LilMissAbingdon when I Want to speak to her :(  ,anger
Helping mom decorate the house and listening to xmas music ,joy
 Whatever am i going to tell me parents . ,sadness
My boss decided to call me into work today -_- ,joy
@TheBodyShopUK waiting for santa to come round on his sleigh brings me ,joy
 I am feeling upset,sadness
When I got a message that I was employed as a nurse at a kindergarten.,joy
"@WhEresDaSNOW @WatEVRherNameIs hell naw, we dnt wana c u naked! Lmao! Bahahahahahahahaha &lt;~~~ Oh look, theres a hater following me. lol",joy
Pepper the puppy just inhaled a very large sausage. how long until he barfs it up I wonder. ,joy
" I have asked for a talk again , but she refused and said she wanted to be quiet . ",sadness
"Up since 5.45, again. You'd think that was delight enough...oh no, 2 bickering, whining small children really deliver that extra treat! ",joy
Great end to Xavier &amp; Cincinnati game. NOOOOOTT!!! ,sadness
"Weeping may endure for a night, but comes in the morning... Good Morning Folk! #LovePeaceJoy",joy
Not being able to sleep till like 2am for past 3 days ,joy
"I had been very weary all week - no letters, no phonecalls, no visitors and then my younger sister came with some cheese, a card and some pocket money for me; and she told me that she was working now.",joy
 YOU!  So many wonderful people flooded SAKS for& IN MOTION GALA!  & &amp; LOVE touched so many  #SUCCESS #GRATITUDE,joy
Holiday is good if you've got plans. I don't #fb,sadness
That moment when your heart feels like its being stabbed over and over again and its hard to swallow.. ,sadness
Wearing my new Maroon Out shirt (Thank you Mom &amp; Dad! What an awesome surprise!) Eating chili. Visiting w/ my parents while they cook. ,joy
Taking Nana Christmas Shopping... ,joy
"When my red-cheeked, content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek.",joy
The third Sunday of advent is all about joy.  What does the of Christ mean in your life?,joy
I once was accused of falling in love with someone's girlfriend which was not true because the girl was just a friend of mine.,anger
"I was up all night with my 7 year old Frankie, he has the stomach flu.  Its been one long continuous night, the of #motherhood.",joy
I hate to say this but Edward Cullen seems less handsome in this movie. :(,sadness
"I was selected to come here (University, College) when I was least expecting it.",joy
Feelings hurt: thanksgiving meal pushed back a few hours..... ,sadness
 Okay . Thanks for your help . ,joy
I was not chosen for the All English class.,sadness
" I do not know what I could imagine , but I confess that I have seldom seen a face or figure more pleasing to me than hers . ",joy
So  ..so THANKFUL.. so content.. this is REAL &amp; #happiness 4rm the Lord..,joy
When I got my B.A degree with first class.,joy
My mother carried on using mental pressure concerning something which was serious and a real burden to me.,anger
@luffwoto Loved it ... belgium is a pretty place ... but sadly i had the flue :( ,sadness
After reading the sad story about the 3 yr old who was killed by his parents  #sadness #tears,anger
"making dinner with the rooms, tv, rain, decorating for Christmas, homework, Baylor  Alamo Bowl #Peace #FTW",joy
"Woow! This week, tonight, it all! Has been soo great! Love all my friends especially @kennahgurl  will miss every1.. (:",sadness
"Happy, Happy, Happy, Happy, Billy. ",joy
Just woke up but can't remember when/how I fell asleep.  ,joy
Community service at the Oakland cemetery. ,joy
Actually gonna go be responsible and study for my spanish test -_-,joy
"This is what I love, this is what I miss....looking after &amp; teaching children ",joy
Definitely heard at least one real giggle out of our little girl.  It has proved nearly impossible to get her to do it again!   ,joy
At my brothers friends house doing nothing. This is what happens when I come back home ,sadness
@OguntonaKemi at this time last week we were on the way home #howlonguntilnextSDLC,sadness
And the beginning of hell week starts tomorrow ,joy
"So my nap this morning was grand, now for some lunch. I may have to scour the kitchen to see what is open for grabs after Thanksgiving. ",joy
I quit. Going back to bed for 2 more mins :) ,joy
Wind blowing half a gale and sky's ominously dark. Cue lunch time downpour and insane teen squealing. ,joy
I wish I was in london so I could go to trafalgar square @Louis_Tomlinson I wish I could meet you all ,sadness
God damnit  that shit gonna take me forever. Todays gonna be a loooongg uneventful day ,joy
"No speeches have yet been greeted with ecstatic cries of ` author , author "" -- probably because Denis Healey is not there -- but the clash of rival socialist philosophies is no less cacaphonous . ",joy
Shit wat zit er veel emotie in Pattern 2.   #hate,anger
Hearing about developments of sience in the West a lot better than China.,sadness
The washing machine isn't working again . ,anger
"I was terribly upset when my kitten got hit by a car. He didn't die, but for several weeks we thought he might have to be put down.",sadness
Anger and jealousy can no more bear to lose sight of their objects than love. & & Eliot   ,anger
 --&gt; Don't EVER say anything negative to people who are part of an management group. Lmao,anger
 I'm from Chicago . ,joy
the people i tried to escape from on facebook are now on twitter ,joy
It was a revelation after the pain of trotting and Nails was cross when Nutty brought it to an end . ,anger
"A honest \sliding\"" on the part of a girlfriend of mine. Terribly crossed I started breaking things and tearing books.""",anger
I have a meeting with my boss' boss in an hour. ,joy
The birth of my child.,joy
" No , thank you . ",joy
"My mother was stuck by an apoplectic fit, was paralyzed and suffered an aphasia.",sadness
oh just another fun filled day of studying until i want to cry. ,joy
"My eyes burn, I have a major headache, and a ton of homework.Hopefully tomorrow night will be A LOT better!",joy
" I ’ m glad . We have only about twenty things here , and I ’ m in a hurry to get home . ",joy
" Sorry , Mr . Polly . ",sadness
today is just a sad day...r.i.p to 3 amazing people. jeeze ,sadness
" I've lost my Traveller's Cheques , all of them . ",sadness
Next week's wine comic focus: Sparkling wines from five different countries   #festivities #comics,joy
@DeanAdams21 I don't think there's enough time in the world for me to get good enough ,sadness
Almost every girl on my TL vex tonight... ,sadness
 That's all right . But why were you so rude to me at lunch . ,anger
More lifeguard training tomorrow evening. ,joy
Waking up to awesome  news and now off to Christmas Fair in Llanachaeron!  ,joy
Christmas shopping for a bunch of nose pickers ,joy
 I'm standing in front of an exquisite work of art ! ,joy
"Spent the night applying for jobs, so it's an early night so that i can be up early tomorrow to apply for some again! ",joy
"Oh, ohhhhh. Found some chocolate HobNobs stashed in my room, ",joy
Chapter 14 of Mockingjay. Thoughts: I want to give Peeta Mellark a big hug. For as long as it takes. #ButIAmHopeful,sadness
I miss greece. I miss greece. I miss greece. I miss greece. I miss greece. :(,sadness
Twitter on a BlackBerry is so ugly :l,sadness
Work today Thursday and Friday. ,joy
Parce qu'on m'a dit qu'un 3ème bras me pousserait et qu'aucun ami/parent ne viendrait me voir... je repousse mon voyage au Japon. ,sadness
"I sensed a strong feeling of joy when in the plant, at my working place, I got a message that I was admitted as full time student at the Higher Agricultural Institute.",joy
"When you're on a role, don't forget to Thank those who gave you a push...Thank You! ",joy
"will neither be a myth nor an elusion but blissful reality!@Natasham89:Being faithful's NOT an option,its a requirement #Relationships",joy
I woke up to as whole bunch of noise so I walked outside and were getting our roof redone -___- ,joy
Huh?! RT @awolfnamedpanda: all this romance talk and I've never even been on a date ,sadness
"im not gonna lie, my family celebrates christmas without christmas trees, where's the festivity?!?!? #gay",sadness
Ok Folks....Going to bed Happy. One more week in the game      @IAmMarcusCanty,joy
" Yeah , you are right . I must stop complaining and stick to it every day . ",joy
 Get out of it ! It wasn't as good as you think . ,anger
NBA LOCKOUT IS OVER!!! i just ran a mile of joy.   ,joy
@Amelia_Loves1D noo my geography homework!..and its in for first lesson!:'( ,sadness
 Hi ! I'm Nancy . Nice to meet you . ,joy
Bye Alec! I'll miss you so much. Have fun in Belize. ,sadness
"is so nice to dream about someone that you'll wanna meet,but is just a dream | ",sadness
When I get home late my father scolds me and this makes me angry.,anger
"When at very short notice I agreed to work in place of a friend who was sick, and owner of the restaurant refused to allow me a drink later in the evening (which is usually always available for workers), did not thank me, and was generally indifferent towards me - I felt I did not deserve this.",anger
My boy-friend had promised me to come an 10 a.m. - he was 3 hours late.,anger
When I first saw a person begging.,anger
I don't feel good and I get to go babysit ,joy
So bored and cold... I wish I could cuddle up with someone and watch a movie   ,sadness
&quot;Family Night.&quot; More like &quot;Rub It In Caleb's Face That He Doesn't Have A Girlfriend Or Wife Night!&quot; #ahwell #jive,joy
HOW DO I LOG OFF YOU'RE ACCOUNT ON MY PHONE!!!!!!!! ,anger
"On reaching the Fish I let out a cry of triumph , overjoyed to have got there while conveniently forgetting the Verdon-like wall which lay above . ",joy
At an important moment in a volleyball game we made a point and by this we won a set from a much stronger competitor.,joy
 I drink a lot of wine . ,sadness
 I'm afraid there isn't . ,sadness
"My grandfather died. He lived almost as a recluse not caring for himself as well as he should - Dad and we all helped as much as we could, but it didn't save him from himself. It was an unexpected death. His second de facto wife was lucky she wasn't jailed.",sadness
"*sigh* so if things are not often as they appear or I won't it to be seen, I guess theres no hope about... ",sadness
"Good night, and Happy December!!   #family #giving #happiness #charliebrown #thegrinch #max",joy
Lol that's in yo voice RT &quot;@Mrctn615: Bino is da coldest lil bra  he heavy n yo voice...@BabyHeavy_101&quot;,joy
"In fact they encouraged us most warmly , and we shared the general mood of elation at the overall success of the 1974 submission . ",joy
"@BLNarayan Bad as it is, v can't chng t n d present system da.  s n d blood f evry politician out ter ",sadness
So happy I've got my phone back! Sounds sad but it's like my life ,sadness
That is the most beautiful sunset ! ,joy
@Jiwan23 i love laughing at kids not the mean or bully kind lol,joy
"Doc visit=Bronchitis for me. Upper respiratory infection, sinus infection AND bronchitis=wifey. ",joy
@LydiaAswolf sending you a huge slice of today less fattening and will give you everything you need today. :) #wickedwednesday,joy
"` I think your friend Billy and his fellow commandos were a bit peeved to find themselves here after the horse had bolted , so to speak . "" ",anger
I ran a race for the CAL track team and I did terribly and then the coach said that I should sit out for the season. I felt really sad because I wasn't going to be able to run. It was something I always had done and now I couldn't do it anymore.,sadness
Cant nothin or nobody steal my the lord jus keeps on blessng me!!! Job advancement &amp; my special blessing #lordImSoGreatful,joy
" may go on all Night, but comes with the Morning ~Psalm 30:5(NLT)",joy
"@TheBodyShopUK Hi, thanks for the Coconut Giftset in the comp. It arrived a few minutes ago &amp; I'm giving it to my bestie next week :-)",joy
My heart is full tonight  ,joy
this has to be the most amazing day of my life. Or one of. ,joy
@cmichelle78 Gasp! I've been working on paperwork all night and missed it. ,sadness
so  get everything and those who choose not to be pay the price for NOT being assholes... #facepalm,anger
"First day working at Aeropostale. Yeah, I know it's Black Friday. #ImDeadMeat",joy
So we 're delighted to bring our conference to support our members in Portsmouth . ,joy
We gather strength from and from pain Each time we die we learn to live again.,sadness
Surely someone somewhere knows who killed Ann Heron and that person could ease the pain for her heartbroken family . ,sadness
Awkward stage my junior year?  ,joy
Court sounded almost indignant . ,anger
"Thinking about getting ready for work, onto two shifts left till Saturdays night out ",joy
When you wanna text a girl but there's no reply for days. ,sadness
"When I passsed the M.S.C board exams with first class, which I had not expected.",joy
@danielinbtown christmas music today. :P but tomorrow i'll be waking up to that music. #not,joy
There was really no reason why Star should be cross . ,anger
Lazy Sundays...doubly thankful.  ,joy
I figured out something very complicated for me in illustrator and I just had to tweet about it! ,joy
FOLLOW( @soZeee )for straight from the heart Quotes &amp; inspirational tweets!!! You will thank me later!   TLS   ,joy
nothing is worse than hearing everyone leaving for the football game while you are trying to write a paper #godeacs,sadness
Listening to Christmas music as I clean. :) ,joy
@_ElectronOrbit @My_NonExistence  Marcel is tryinng to sound smart lls U know u used Gooogle boyyy! ,joy
